parameter_id,target_quantity,mechanism,unit,distribution,parameterization,central,low,high,dependence_structure,provenance,evidence_or_derivation,dominant_crux,update_observable
redirect_addon_ratio,matcher add-on per cleared lower-impact principal,redirect,ratio,truncated_normal,"mean; low/high bounds",0.18,0.05,0.35,liquidity and donor budget factors,AI-proposed,exact-cent product concept only,matcher willingness,posted matcher supply by cent
redirect_min_fill_loss,compatible value lost to minimum/full-fill constraints,redirect,proportion,beta_approx,"mean; low/high approximate p10/p90",0.14,0.03,0.35,thin-market and order-size factors,AI-proposed,clearing constraint prior,lot-size mismatch,clearing counterfactual with/without minima
redirect_settlement_loss,cleared redirect value lost to failure/refund/chargeback,redirect,proportion,logistic_normal,"median; low/high approximate p10/p90",0.025,0.006,0.075,operational/reliability factor,AI-proposed,no live many-to-many settlement data,settlement reliability,processor settlement outcomes
redirect_high_impact_share,opposed redirect principal classified within-high-impact reallocation,redirect,proportion,beta_approx,"mean; low/high approximate p10/p90",0.38,0.15,0.67,source-side/profile mixture,AI-proposed,classification must remain separate,baseline destination class,prospective frozen source/destination classification
direct_supply_fraction,transaction-active ordinary/skilled capacity offered to direct matching,direct,proportion,logistic_normal,"median; low/high approximate p10/p90",0.24,0.08,0.48,action-supply and trust factors,AI-proposed,no mature offer market,supply participation,posted compatible supply hours
direct_demand_fraction,transaction-active cash capacity posted as direct demand,direct,proportion,logistic_normal,"median; low/high approximate p10/p90",0.21,0.07,0.43,demand and trust factors,AI-proposed,no mature offer market,demand participation,posted WTP by category
direct_price_fit,WTP/WTA overlap conditional on other compatibility,direct,proportion,logistic_normal,"median; low/high approximate p10/p90",0.56,0.24,0.82,shared price and archetype WTP/WTA factors,AI-proposed,WTP/WTA product logic only,price overlap,posted bids asks and rejects
direct_mean_price,conditional accepted price used to translate payment capacity to commitments,direct,USD/commitment,lognormal,"median; low/high approximate p10/p90",38,15,95,WTP/WTA and action-category hierarchy,AI-proposed,not an inserted transaction value for cash effects,commitment counts and mix,accepted category-level prices
cause_directed_payment_share,share of direct payment sent to frozen project/charity,direct,proportion,beta_approx,"mean; low/high approximate p10/p90",0.61,0.32,0.83,payer/category mixture,AI-proposed,owner fixed routing categories but not share,routing choice,prospective route selection
direct_skilled_category_share,share of matched direct activity that is skilled work,direct,proportion,beta_approx,"mean; low/high approximate p10/p90",0.24,0.10,0.43,archetype/action category hierarchy,AI-proposed,five owner-fixed categories,category composition,matched offers by category
direct_match_efficiency,nonlinear compatibility beyond price overlap,direct,score_0_1,logistic_normal,"median; low/high approximate p10/p90",0.50,0.18,0.76,liquidity trust evidence timing and cause fit,AI-proposed,first-principles matching prior,matching efficiency,compatible supply/demand funnel
coact_activity_share,share of direct completions attempted as Co-Acts,direct,proportion,beta_approx,"mean; low/high approximate p10/p90",0.31,0.12,0.55,repeat and coordination factors,AI-proposed,current-main proposal only,group demand,created group format
coact_same_action_share,share of Co-Act attempts using same-action form,direct,proportion,beta_approx,"mean; low/high approximate p10/p90",0.68,0.45,0.86,category/group-size hierarchy,AI-proposed,owner fixed forms but not mixture,format composition,created Co-Acts by form
coact_attrition,member attrition before completion,direct,proportion,beta_approx,"mean; low/high approximate p10/p90",0.23,0.08,0.48,reliability evidence and group-size factors,AI-proposed,current-main proposal flags attrition,group completion,member-level completion follow-up
coact_role_completion,probability every required complementary role is filled and completes,direct,proportion,logistic_normal,"median; low/high approximate p10/p90",0.66,0.25,0.88,role bottleneck reliability and group size,AI-proposed,complementary-role conservation requirement,role bottleneck,role-level offer and completion
coact_small_group_share,share of Co-Acts sized 2-20,direct,proportion,fixed,pre-results mixture,0.82,0.82,0.82,sums with medium and large to one,AI-proposed,owner specified most groups 2-20,coordination scaling,created group size
coact_medium_group_share,share of Co-Acts sized 20-100,direct,proportion,fixed,pre-results mixture,0.16,0.16,0.16,sums with small and large to one,AI-proposed,owner specified some groups 20-100,coordination scaling,created group size
coact_large_group_share,share of standardized Co-Acts above 100,direct,proportion,fixed,pre-results mixture,0.02,0.02,0.02,sums with small and medium to one,AI-proposed,owner specified rare groups above 100,standardization feasibility,created group size
coact_small_mean_size,representative completed size within 2-20 band,direct,participants/group,fixed,pre-results representative value,8,8,8,group-size mixture,AI-proposed,owner fixed range but not within-band shape,group count translation,created group size
coact_medium_mean_size,representative completed size within 20-100 band,direct,participants/group,fixed,pre-results representative value,45,45,45,group-size mixture,AI-proposed,owner fixed range but not within-band shape,group count translation,created group size
coact_large_mean_size,representative completed size above 100,direct,participants/group,fixed,pre-results standardized value,140,140,140,group-size mixture,AI-proposed,owner specified rare standardized groups,group count translation,created group size
direct_ordinary_hours_per_commitment,ordinary hours represented by one completed individual commitment,direct,hours/commitment,fixed,pre-results translation,2,2,2,action-category mix,AI-proposed,native-unit to count translation,commitment duration,verified duration by category
direct_skilled_hours_per_commitment,skilled hours represented by one completed individual commitment,direct,hours/commitment,fixed,pre-results translation,6,6,6,action-category mix,AI-proposed,native-unit to count translation,commitment duration,verified duration by category
coact_same_hours_per_member,completed hours per same-action member,direct,hours/member,fixed,pre-results translation,1.5,1.5,1.5,group-size mix,AI-proposed,native-unit to group-count translation,group duration,verified duration by format
coact_complement_hours_per_member,completed hours per complementary-role member,direct,hours/member,fixed,pre-results translation,2,2,2,group-size and role mix,AI-proposed,native-unit to group-count translation,role duration,verified role duration
support_hours_per_support_user_year,review/challenge/organizing hours per support-only exposure,portfolio,hours/user-year,triangular,"low; mode; high",8,2,18,archetype support intensity,AI-proposed,native-unit reporting requirement,support intensity,time diary sample
coordination_hours_per_completion,review/coordination hours per direct or Co-Act completion,direct,hours/completion,triangular,"low; mode; high",0.55,0.15,1.80,group size and evidence factors,AI-proposed,native-unit reporting requirement,coordination burden,completion time diary
dac_pool_target,project receipt target T,dac,USD/pool,lognormal,"median; low/high approximate p10/p90",3000,800,15000,pool/category hierarchy,AI-proposed,open pool concept only,target scale,published pool targets
dac_pools_per_10000_user_years,potential pool creation intensity,dac,pools/10000-user-years,lognormal,"median; low/high approximate p10/p90",9,2,25,organizer and adoption factors,AI-proposed,no mature pool cohort,pool supply,published eligible pools per exposure
dac_willing_pledge_ratio,potential pledge principal divided by gross threshold,dac,ratio,truncated_normal,"mean; low/high bounds",1.22,0.55,2.10,valuation social proof free-riding and trust factors,AI-proposed,reduced-form contributor set prior,demand relative to target,potential contributor elicitation
dac_moral_valuation,participant value for shared project relative to pledge cost,dac,ratio,lognormal,"median; low/high approximate p10/p90",1.15,0.55,2.30,archetype/profile and public-good factor,AI-proposed,literature is conceptual not calibration,preference structure,prospective valuation elicitation
dac_free_riding,share of otherwise willing pledge demand withheld in hope others fund,dac,proportion,logistic_normal,"median; low/high approximate p10/p90",0.28,0.08,0.62,strategic-delay and population factors,AI-proposed,literature says vulnerability but gives no platform rate,free-riding response,randomized pivotality/visibility design
dac_strategic_delay,share of willing pledges delayed toward deadline,dac,proportion,beta_approx,"mean; low/high approximate p10/p90",0.25,0.07,0.55,free-riding and bonus schedule factors,AI-proposed,time-decreasing schedule response unknown,arrival timing,authorization-time distribution
dac_bonus_response,elasticity of willing pledge demand to expected failure bonus,dac,elasticity,truncated_normal,"mean; low/high bounds",0.24,0.00,0.75,liquidity and strategic factor,AI-proposed,dominant assurance critique implies modest central response,bonus causal effect,randomized bonus schedule
dac_social_proof,elasticity of later pledge demand to funded fraction,dac,elasticity,truncated_normal,"mean; low/high bounds",0.35,0.00,0.90,arrival and network factors,AI-proposed,reduced-form behavior prior,social proof,randomized progress visibility
dac_surcharge_sensitivity,semi-elasticity of pledge demand to surcharge rate,dac,semi_elasticity,truncated_normal,"mean; low/high bounds",2.20,0.50,5.50,price and moral-valuation factors,AI-proposed,gross threshold trade-off required by owner,surcharge deterrence,randomized or discontinuous surcharge exposure
dac_threshold_heterogeneity_slope,pool-level success dispersion around aggregate pledge ratio,dac,logit_slope,fixed,pre-results reduced-form slope,6,6,6,behavior-generated funding ratio,AI-proposed,turns heterogeneous pool ratios into aggregate success share,pool heterogeneity,pool-level target and pledge ratio
dac_initial_reserve,external founder reserve capital,dac,USD,fixed,exact,2500,2500,2500,reserve state variable,owner-selected,issue #695,seed classification,owner revision only
dac_surcharge_min,minimum published rate for new pools,dac,proportion,fixed,exact,0.02,0.02,0.02,controller bound,owner-selected,issue #695,none,owner revision only
dac_surcharge_max,maximum published rate for new pools,dac,proportion,fixed,exact,0.15,0.15,0.15,controller bound,owner-selected,issue #695,none,owner revision only
dac_initial_surcharge,initial published central rate,dac,proportion,fixed,AI-proposed starting prior,0.05,0.05,0.05,frozen per pool,AI-proposed,issue permits initial 5% prior,controller calibration,reserve experience
dac_bonus_open,central opening failure-bonus rate,dac,proportion,fixed,linear schedule endpoint,0.10,0.10,0.10,frozen per tranche,AI-proposed owner-directed decreasing schedule,bonus liability and response,randomized schedule
dac_bonus_deadline,central deadline failure-bonus rate,dac,proportion,fixed,linear schedule endpoint,0.02,0.02,0.02,frozen per tranche,AI-proposed owner-directed decreasing schedule,bonus liability and response,randomized schedule
dac_controller_free_target,target free-reserve share for coverage controller,dac,proportion,fixed,transparent controller target,0.45,0.45,0.45,prior-year aggregate state only,AI-proposed,pre-results solvency heuristic,controller behavior,reserve ledger under pilot
dac_stress_percentile,stress percentile for lowest-solvent-rate policy,dac,percentile,fixed,stated policy percentile,0.95,0.95,0.95,uses projected liability distribution,AI-proposed,owner required stated stress percentile,forecast calibration,pilot liability forecast errors
dac_bonus_transfer_fee,failed bonus transfer fee paid by operating account,dac,proportion,truncated_normal,"mean; low/high bounds",0.012,0.004,0.030,processor/operational factor,AI-proposed,fees are cash costs not locked liability,fee burden,processor fee statements
dac_invalid_pledge_share,invalid/fraudulent/ineligible authorizations,dac,proportion,logistic_normal,"median; low/high approximate p10/p90",0.025,0.004,0.10,reliability/security factor,AI-proposed,ineligible pledges get no bonus,eligibility rate,authorization audit outcomes
processor_fee_rate,variable processor fee on settled external cash,all,proportion,truncated_normal,"mean; low/high bounds",0.029,0.015,0.045,mechanism settlement volume,AI-proposed reference-class envelope not vendor quote,fee routing,processor fee statements
refund_loss_rate,settled external cash lost to refunds,all,proportion,logistic_normal,"median; low/high approximate p10/p90",0.006,0.001,0.025,operational/reliability factor,AI-proposed,no production settlement evidence,refund rate,processor refund outcomes
chargeback_loss_rate,settled external cash lost to chargebacks,all,proportion,logistic_normal,"median; low/high approximate p10/p90",0.003,0.0005,0.015,operational/security factor,AI-proposed,no production settlement evidence,chargeback rate,processor dispute outcomes
failed_settlement_loss_rate,settled external cash lost to non-redirect settlement failure,all,proportion,logistic_normal,"median; low/high approximate p10/p90",0.003,0.0005,0.015,operational/reliability factor,AI-proposed,no production settlement evidence,failed-settlement rate,processor settlement outcomes
cloud_cost_per_user_year,attributable cloud cash cost,portfolio,USD/user-year,triangular,"low; mode; high",0.04,0.01,0.15,adoption volume and operational factor,AI-proposed,repository-only forecast cost prior,unit cost,isolated cloud cost ledger
api_cost_per_user_year,attributable API cash cost,portfolio,USD/user-year,triangular,"low; mode; high",0.04,0.01,0.15,adoption volume and operational factor,AI-proposed,repository-only forecast cost prior,unit cost,isolated API cost ledger
support_cash_cost_per_user_year,paid support cash cost,portfolio,USD/user-year,triangular,"low; mode; high",0.07,0.015,0.35,evidence burden and support share,AI-proposed,cash costs only central rule,paid support intensity,support cost-center ledger
review_cash_cost_per_user_year,paid review cash cost,portfolio,USD/user-year,triangular,"low; mode; high",0.05,0.015,0.25,evidence burden and support share,AI-proposed,cash costs only central rule,paid review intensity,review cost-center ledger
legal_cash_cost_per_user_year,attributable legal cash cost,portfolio,USD/user-year,triangular,"low; mode; high",0.03,0.005,0.18,transaction volume and mechanism mix,AI-proposed,cash costs only central rule,legal cost envelope,legal cost-center ledger
security_cash_cost_per_user_year,attributable security cash cost,portfolio,USD/user-year,triangular,"low; mode; high",0.03,0.005,0.18,transaction volume and mechanism mix,AI-proposed,cash costs only central rule,security cost envelope,security cost-center ledger
adoption_fraction,share of stipulated trajectory reached in probability-weighted basis,adoption,proportion,logistic_normal,"median; low/high approximate p10/p90",0.58,0.12,0.90,shared adoption trust network factor,AI-proposed,separate from owner conditional trajectory,adoption is a dominant crux,meaningful-active stock versus target
operational_probability,probability mechanisms remain operational for a draw,adoption,probability,bernoulli,success probability,0.82,0.60,0.95,shared reliability/security factor,AI-proposed,no launch history for modeled families,operational failure,preregistered uptime and settlement readiness
adoption_liquidity_exponent,nonlinear degradation of liquidity under lower adoption,adoption,exponent,truncated_normal,"mean; low/high bounds",0.68,0.40,1.20,applies before matching,AI-proposed,two-sided market first principles,low-adoption liquidity,fill rate by active-market size
field_concentration,draw-level dispersion around archetype/resource profile,fields,concentration,lognormal,"median; low/high approximate p10/p90",18,7,45,shared transaction choice factor,AI-proposed,exact field results intentionally weak,field volatility,prospective pretransaction field choices
field_zero_probability,probability a field receives exactly zero within a draw/resource channel,fields,proportion,fixed,pre-results sparsity prior,0.03,0.03,0.03,transaction-specific choice mask,AI-proposed,owner requires fields may receive zero,field sparsity,prospective transaction field choices
negligible_cash_threshold,threshold for negligible five-year net causal cash,reporting,USD,fixed,pre-registered threshold,10000,10000,10000,none,AI-proposed,small relative to stipulated five-year portfolio,classification threshold,owner revision before future runs
exceedance_100k,reported threshold,reporting,USD,fixed,pre-registered threshold,100000,100000,100000,none,AI-proposed,decision-useful scale,none,owner revision before future runs
exceedance_500k,reported threshold,reporting,USD,fixed,pre-registered threshold,500000,500000,500000,none,AI-proposed,Model v1 vicinity without tuning,none,owner revision before future runs
exceedance_1m,reported threshold,reporting,USD,fixed,pre-registered threshold,1000000,1000000,1000000,none,AI-proposed,decision-useful scale,none,owner revision before future runs
exceedance_5m,reported threshold,reporting,USD,fixed,pre-registered threshold,5000000,5000000,5000000,none,AI-proposed,decision-useful scale,none,owner revision before future runs
